frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
106,3.5000,-114.939284,22.974332,-55.376128,-87.726123,123.900000,72.850845,32.22
107,3.5333,-114.862759,20.885680,-56.299613,-88.257485,123.900000,71.637708,34.81
108,3.5667,-114.777067,18.652270,-57.349321,-88.775076,123.900000,70.418342,37.22
109,3.6000,-114.681595,16.285350,-58.533000,-89.266652,123.900000,69.214842,39.45
110,3.6333,-114.574340,13.796069,-59.858576,-89.719200,123.900000,68.049516,41.49
111,3.6667,-114.449860,11.194724,-61.335925,-90.116744,123.900000,66.946632,43.36
112,3.7000,-114.306583,8.491488,-62.970854,-90.448684,123.900000,65.924460,45.05
113,3.7333,-114.142146,5.695494,-64.769222,-90.704666,123.900000,65.000130,46.60
114,3.7667,-113.797556,2.818580,-66.732540,-90.819154,123.727128,64.191607,47.95
115,3.8000,-113.099545,-0.128977,-68.859618,-90.715970,123.181369,63.511498,49.13
116,3.8333,-112.270155,-3.150607,-71.163536,-90.465056,122.501219,62.963136,50.36
117,3.8667,-111.406423,-6.244369,-73.651535,-90.101984,121.789718,62.550265,51.56
118,3.9000,-110.563141,-9.405517,-76.328587,-89.649450,121.103680,62.278840,52.69
119,3.9333,-109.761311,-12.628885,-79.198052,-89.118539,120.462680,62.154961,53.72
120,3.9667,-109.007709,-15.910150,-82.261651,-88.515741,119.870339,62.182841,54.69
121,4.0000,-108.305825,-19.246865,-85.523920,-87.844962,119.326055,62.368254,55.61
122,4.0333,-107.655618,-22.638741,-88.990815,-87.108435,118.824719,62.716464,57.78
123,4.0667,-107.055224,-26.087371,-92.668434,-86.308026,118.358777,63.230989,61.29
124,4.1000,-106.503119,-29.597867,-96.569258,-85.443734,117.920183,63.918543,65.01
125,4.1333,-105.997453,-33.179170,-100.710907,-84.514507,117.499498,64.787172,69.03
126,4.1667,-105.535896,-36.844161,-105.115921,-83.518604,117.085985,65.845763,73.42
127,4.2000,-105.116823,-40.614613,-109.823698,-82.450902,116.667281,67.111479,78.46
128,4.2333,-104.738547,-44.524207,-114.894669,-81.302617,116.227908,68.610719,84.52
129,4.2667,-104.399455,-48.569222,-120.318358,-80.082240,115.754727,70.331202,90.39
130,4.3000,-104.098483,-52.333828,-125.318002,-78.962389,115.295437,71.871670,83.33
131,4.3333,-103.833403,-55.785594,-129.824616,-77.952314,114.866447,73.199383,75.11
132,4.3667,-103.603110,-58.821917,-133.639905,-77.087120,114.498948,74.218359,63.59
133,4.4000,-103.407316,-61.559511,-136.975523,-76.317781,114.186700,75.038091,55.59
134,4.4333,-103.246198,-64.078342,-139.976244,-75.612510,113.923553,75.732099,50.01
135,4.4667,-103.119601,-66.312203,-142.512143,-74.996454,113.730955,76.234986,42.26
136,4.5000,-103.028008,-68.340680,-144.727665,-74.440579,113.599870,76.617920,36.93
137,4.5333,-102.971973,-70.218511,-146.721315,-73.926204,113.523536,76.928407,33.23
138,4.5667,-102.951476,-71.903662,-148.406364,-73.472400,113.517307,77.119755,28.09
139,4.6000,-102.967602,-73.449669,-149.880141,-73.061728,113.573424,77.238771,25.77
140,4.6333,-103.021376,-74.893851,-151.208968,-72.683233,113.686641,77.316300,24.07
141,4.6667,-103.113822,-76.209885,-152.334296,-72.351914,113.869171,77.318520,21.93
142,4.7000,-103.246710,-77.433718,-153.321464,-72.057287,114.115577,77.276562,20.40
143,4.7333,-103.421959,-78.590950,-154.215044,-71.793198,114.422908,77.210562,19.29
144,4.7667,-103.635362,-79.668535,-154.974110,-71.571073,114.789839,77.091109,17.96
145,4.8000,-103.880176,-80.693098,-155.641228,-71.382642,115.198654,76.934588,17.08
146,4.8333,-104.155672,-81.681672,-156.246205,-71.223068,115.644610,76.754299,16.48
147,4.8667,-104.462231,-82.624081,-156.761844,-71.101019,116.133392,76.532311,15.71
148,4.9000,-104.798837,-83.535823,-157.217554,-71.011298,116.659426,76.282824,15.20
149,4.9333,-105.164737,-84.428399,-157.633362,-70.950892,117.218887,76.014514,14.88
150,4.9667,-105.560785,-85.295580,-157.990868,-70.926829,117.816119,75.714327,14.45
151,5.0000,-105.985985,-86.147646,-158.309879,-70.935818,118.446572,75.391669,14.20
152,5.0333,-106.439858,-86.992438,-158.603905,-70.976218,119.107434,75.051970,14.08
153,5.0667,-106.923319,-87.826165,-158.860733,-71.053850,119.801573,74.685817,13.90
154,5.1000,-107.435549,-88.655732,-159.093752,-71.166835,120.525477,74.299153,13.83
155,5.1333,-107.976343,-89.333827,-159.027390,-71.390162,121.319159,73.749111,13.23
156,5.1667,-108.546172,-89.969362,-158.861840,-71.679065,122.151772,73.132666,13.88
157,5.2000,-109.144531,-90.611018,-158.688094,-72.011955,123.008032,72.494754,14.27
158,5.2333,-109.771399,-91.255241,-158.498570,-72.393558,123.887802,71.829268,14.66
159,5.2667,-110.209453,-93.767323,-161.908897,-71.663622,123.900000,73.058832,56.84
160,5.3000,-110.672472,-96.373129,-165.473668,-70.900444,123.900000,74.357462,59.41
161,5.3333,-111.184176,-99.174996,-169.366029,-70.058056,123.900000,75.817791,64.87
162,5.3667,-111.732455,-102.078352,-173.419514,-69.177098,123.900000,77.355137,67.56
163,5.4000,-112.336026,-105.183185,-177.804454,-68.209916,123.900000,79.059843,73.08
