frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
84,3.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
85,3.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
86,3.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
87,3.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
88,3.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
89,3.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
90,3.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
91,3.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
92,3.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
93,3.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
94,3.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
95,3.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
96,3.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
97,4.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
98,4.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
99,4.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
100,4.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
101,4.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
102,4.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
103,4.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
104,4.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
105,4.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
106,4.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
107,4.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
108,4.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
109,4.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
110,4.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
111,4.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
112,4.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
113,4.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
114,4.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
115,4.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
116,4.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
117,4.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
118,4.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
119,4.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
120,4.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
121,5.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
122,5.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
123,5.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
124,5.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
125,5.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
126,5.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
127,5.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
128,5.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
129,5.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
130,5.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
