frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
88,3.6250,0.000005,-42.174154,-66.748666,0.000041,-24.574556,-0.000038,4.49
89,3.6667,0.000005,-42.358590,-67.087149,0.000041,-24.728615,-0.000038,4.51
90,3.7083,0.000005,-42.543855,-67.427300,0.000041,-24.883494,-0.000038,4.54
91,3.7500,0.000005,-42.729933,-67.769048,0.000041,-25.039170,-0.000038,4.56
92,3.7917,0.000005,-42.916804,-68.112368,0.000041,-25.195618,-0.000038,4.58
93,3.8333,0.000005,-43.104429,-68.457197,0.000041,-25.352817,-0.000038,4.60
94,3.8750,0.000005,-43.292782,-68.803467,0.000041,-25.510738,-0.000037,4.62
95,3.9167,0.000006,-43.481821,-69.151123,0.000041,-25.669359,-0.000037,4.64
96,3.9583,0.000006,-43.671543,-69.500160,0.000041,-25.828663,-0.000037,4.65
97,4.0000,0.000006,-43.861894,-69.850439,0.000041,-25.988605,-0.000037,4.67
98,4.0417,0.000006,-44.052859,-70.201982,0.000041,-26.149176,-0.000037,4.69
99,4.0833,0.000006,-44.244391,-70.554686,0.000041,-26.310343,-0.000037,4.70
100,4.1250,0.000006,-44.436470,-70.908483,0.000041,-26.472072,-0.000037,4.72
101,4.1667,0.000006,-44.629061,-71.263359,0.000041,-26.634352,-0.000037,4.73
102,4.2083,0.000006,-44.822153,-71.619253,0.000041,-26.797154,-0.000037,4.75
103,4.2500,0.000006,-45.015683,-71.976069,0.000041,-26.960435,-0.000037,4.76
104,4.2917,0.000006,-45.209633,-72.333766,0.000041,-27.124187,-0.000036,4.77
105,4.3333,0.000006,-45.403976,-72.692296,0.000041,-27.288370,-0.000036,4.78
106,4.3750,0.000006,-45.598657,-73.051551,0.000040,-27.452948,-0.000036,4.79
107,4.4167,0.000006,-45.793673,-73.411522,0.000040,-27.617906,-0.000036,4.80
108,4.4583,0.000006,-45.988972,-73.772142,0.000040,-27.783219,-0.000036,4.81
109,4.5000,0.000006,-46.184527,-74.133316,0.000040,-27.948840,-0.000036,4.82
110,4.5417,0.000006,-46.380294,-74.494988,0.000040,-28.114744,-0.000036,4.82
